datum;domaca_ekipa;gostujoca_ekipa;domaci_goli;gostujoci_goli;del_prvenstva;dodatek;stadion;mesto;stevilo_gledalcev;leto
29 junij 2000 (2000-06-29);Italija ; Nizozemska;0;0;Polfinale;Italija zmaga na kazenskih udarcih 3-1;Amsterdam Arena; Amsterdam;50000;2000
2 julij 2000 (2000-07-02);Francija ; Italija;2;1;Finale;Francija zmaga po podaljšku;De Kuip; Rotterdam;48200;2000
12 junij 2004 (2004-06-12);Portugalska ; Grčija;1;2;Skupina A;;Estádio do Dragão; Porto;48761;2004
12 junij 2004 (2004-06-12);Španija ; Rusija;1;0;Skupina A;;Estádio Algarve; Faro/Loulé;28182;2004
16 junij 2004 (2004-06-16);Grčija ; Španija;1;1;Skupina A;;Estádio do Bessa; Porto;25444;2004
16 junij 2004 (2004-06-16);Rusija ; Portugalska;0;2;Skupina A;;Estádio da Luz; Lisbona;59273;2004
20 junij 2004 (2004-06-20);Španija ; Portugalska;0;1;Skupina A;;Estádio José Alvalade; Lisbona;47491;2004
20 junij 2004 (2004-06-20);Rusija ; Grčija;2;1;Skupina A;;Estádio Algarve; Faro/Loulé;24347;2004
13 junij 2004 (2004-06-13);Švica  ; Hrvaška;0;0;Skupina B;;Estádio Dr. Magalhães Pessoa; Leiria;24090;2004
13 junij 2004 (2004-06-13);Francija ; Anglija;2;1;Skupina B;;Estádio da Luz; Lisbona;62487;2004
17 junij 2004 (2004-06-17);Anglija ;  Švica;3;0;Skupina B;;Estádio Cidade de Coimbra; Coimbra;28214;2004
17 junij 2004 (2004-06-17);Hrvaška ; Francija;2;2;Skupina B;;Estádio Dr. Magalhães Pessoa; Leiria;29160;2004
21 junij 2004 (2004-06-21);Hrvaška ; Anglija;2;4;Skupina B;;Estádio da Luz; Lisbona;57047;2004
21 junij 2004 (2004-06-21);Švica  ; Francija;1;3;Skupina B;;Estádio Cidade de Coimbra; Coimbra;28111;2004
14 junij 2004 (2004-06-14);Danska ; Italija;0;0;Skupina C;;Estádio D. Afonso Henriques; Guimarães;19595;2004
14 junij 2004 (2004-06-14);Švedska ; Bolgarija;5;0;Skupina C;;Estádio José Alvalade; Lisbona;31652;2004
18 junij 2004 (2004-06-18);Bolgarija ; Danska;0;2;Skupina C;;Estádio Municipal de Braga; Braga;24131;2004
18 junij 2004 (2004-06-18);Italija ; Švedska;1;1;Skupina C;;Estádio do Dragão; Porto;44926;2004
22 junij 2004 (2004-06-22);Italija ; Bolgarija;2;1;Skupina C;;Estádio D. Afonso Henriques; Guimarães;16002;2004
22 junij 2004 (2004-06-22);Danska ; Švedska;2;2;Skupina C;;Estádio do Bessa; Porto;26115;2004
15 junij 2004 (2004-06-15);Češka ; Latvia;2;1;Skupina D;;Estádio Municipal de Aveiro; Aveiro;21744;2004
15 junij 2004 (2004-06-15);Nemčija ; Nizozemska;1;1;Skupina D;;Estádio do Dragão; Porto;48197;2004
19 junij 2004 (2004-06-19);Latvia ; Nemčija;0;0;Skupina D;;Estádio do Bessa; Porto;22344;2004
19 junij 2004 (2004-06-19);Nizozemska ; Češka;2;3;Skupina D;;Estádio Municipal de Aveiro; Aveiro;29935;2004
23 junij 2004 (2004-06-23);Nizozemska ; Latvia;3;0;Skupina D;;Estádio Municipal de Braga; Braga;27904;2004
23 junij 2004 (2004-06-23);Nemčija ; Češka;1;2;Skupina D;;Estádio José Alvalade; Lisbona;46849;2004
24 junij 2004 (2004-06-24);Portugalska ; Anglija;2;2;Četrtfinale;Portugalska zmaga na kazenskih udarcih 6-5;Estádio da Luz; Lisbona;62564;2004
25 junij 2004 (2004-06-25);Francija ; Grčija;0;1;Četrtfinale;;Estádio José Alvalade; Lisbona;45390;2004
26 junij 2004 (2004-06-26);Švedska ; Nizozemska;0;0;Četrtfinale;Nizozemska zmaga na kazenskih udarcih 4-5;Estádio Algarve; Faro/Loulé;27762;2004
27 junij 2004 (2004-06-27);Češka ; Danska;3;0;Četrtfinale;;Estádio do Dragão; Porto;41092;2004
30 junij 2004 (2004-06-30);Portugalska ; Nizozemska;2;1;Polfinale;;Estádio José Alvalade; Lisbona;46679;2004
1 julij 2004 (2004-07-01);Grčija ; Češka;1;0;Polfinale;Grčija zmaga po podaljšku;Estádio do Dragão; Porto;42449;2004
4 julij 2004 (2004-07-04);Portugalska ; Grčija;0;1;Finale;;Estádio da Luz; Lisbona;62865;2004
7 junij 2008 (2008-06-07);Švica  ; Češka;0;1;Skupina A;;St. Jakob-Park; Basel;39730;2008
7 junij 2008 (2008-06-07);Portugalska ; Turčija;2;0;Skupina A;;Stade de Genève; Geneva;29106;2008
11 junij 2008 (2008-06-11);Češka ; Portugalska;1;3;Skupina A;;Stade de Genève; Geneva;29016;2008
11 junij 2008 (2008-06-11);Švica  ; Turčija;1;2;Skupina A;;St. Jakob-Park; Basel;39730;2008
15 junij 2008 (2008-06-15);Švica  ; Portugalska;2;0;Skupina A;;St. Jakob-Park; Basel;39730;2008
15 junij 2008 (2008-06-15);Turčija ; Češka;3;2;Skupina A;;Stade de Genève; Geneva;29016;2008
8 junij 2008 (2008-06-08);Avstrija ; Hrvaška;0;1;Skupina B;;Ernst-Happel-Stadionn; Dunaj;51428;2008
8 junij 2008 (2008-06-08);Nemčija ; Poljska;2;0;Skupina B;;Wörthersee Stadionn; Celovec;30461;2008
12 junij 2008 (2008-06-12);Hrvaška ; Nemčija;2;1;Skupina B;;Wörthersee Stadionn; Celovec;30461;2008
12 junij 2008 (2008-06-12);Avstrija ; Poljska;1;1;Skupina B;;Ernst-Happel-Stadionn; Dunaj;51428;2008
16 junij 2008 (2008-06-16);Poljska ; Hrvaška;0;1;Skupina B;;Wörthersee Stadionn; Celovec;30461;2008
16 junij 2008 (2008-06-16);Avstrija ; Nemčija;0;1;Skupina B;;Ernst-Happel-Stadionn; Dunaj;51428;2008
9 junij 2008 (2008-06-09);Romunija ; Francija;0;0;Skupina C;;Letzigrund; Zürich;30585;2008
9 junij 2008 (2008-06-09);Nizozemska ; Italija;3;0;Skupina C;;Stade de Suisse; Bern;30777;2008
13 junij 2008 (2008-06-13);Italija ; Romunija;1;1;Skupina C;;Letzigrund; Zürich;30585;2008
13 junij 2008 (2008-06-13);Nizozemska ; Francija;4;1;Skupina C;;Stade de Suisse; Bern;30777;2008
17 junij 2008 (2008-06-17);Nizozemska ; Romunija;2;0;Skupina C;;Stade de Suisse; Bern;30777;2008
17 junij 2008 (2008-06-17);Francija ; Italija;0;2;Skupina C;;Letzigrund; Zürich;30585;2008
10 junij 2008 (2008-06-10);Španija ; Rusija;4;1;Skupina D;;Tivoli-Neu; Innsbruck;30772;2008
10 junij 2008 (2008-06-10);Grčija ; Švedska;0;2;Skupina D;;Stadionn Wals-Siezenheim; Salzburg;31063;2008
14 junij 2008 (2008-06-14);Švedska ; Španija;1;2;Skupina D;;Tivoli-Neu; Innsbruck;30772;2008
14 junij 2008 (2008-06-14);Grčija ; Rusija;0;1;Skupina D;;Stadionn Wals-Siezenheim; Salzburg;31063;2008
18 junij 2008 (2008-06-18);Grčija ; Španija;1;2;Skupina D;;Stadionn Wals-Siezenheim; Salzburg;30883;2008
18 junij 2008 (2008-06-18);Rusija ; Švedska;2;0;Skupina D;;Tivoli-Neu; Innsbruck;30772;2008
19 junij 2008 (2008-06-19);Portugalska ; Nemčija;2;3;Četrtfinale;;St. Jakob-Park; Basel;39374;2008
20 junij 2008 (2008-06-20);Hrvaška ; Turčija;1;1;Četrtfinale;Turčija zmaga na kazenskih udarcih 1-3;Ernst-Happel-Stadionn; Dunaj;51428;2008
21 junij 2008 (2008-06-21);Nizozemska ; Rusija;1;3;Četrtfinale;Rusija zmaga po podaljšku;St. Jakob-Park; Basel;38374;2008
22 junij 2008 (2008-06-22);Španija ; Italija;0;0;Četrtfinale;Španija zmaga na enajstmetrovkah 4-2;Ernst-Happel-Stadionn; Dunaj;51178;2008
25 junij 2008 (2008-06-25);Nemčija ; Turčija;3;2;Polfinale;;St. Jakob-Park; Basel;39374;2008
26 junij 2008 (2008-06-26);Rusija ; Španija;0;3;Polfinale;;Ernst-Happel-Stadionn; Dunaj;51428;2008
29 junij 2008 (2008-06-29);Nemčija ; Španija;0;1;Finale;;Ernst-Happel-Stadionn; Dunaj;51428;2008
8 junij 2012 (2012-06-08);Poljska ; Grčija;1;1;Skupina A;;National Stadium; Varšava;56070;2012
8 junij 2012 (2012-06-08);Rusija ; Češka;4;1;Skupina A;;Stadionn Miejski; Wrocław;40803;2012
12 junij 2012 (2012-06-12);Grčija ; Češka;1;2;Skupina A;;Stadionn Miejski; Wrocław;41105;2012
12 junij 2012 (2012-06-12);Poljska ; Rusija;1;1;Skupina A;;National Stadium; Varšava;55920;2012
16 junij 2012 (2012-06-16);Češka ; Poljska;1;0;Skupina A;;Stadionn Miejski; Wrocław;41480;2012
16 junij 2012 (2012-06-16);Grčija ; Rusija;1;0;Skupina A;;National Stadium; Varšava;55614;2012
9 junij 2012 (2012-06-09);Nizozemska ; Danska;0;1;Skupina B;;Metalist Stadium; Kharkiv;35923;2012
9 junij 2012 (2012-06-09);Nemčija ; Portugalska;1;0;Skupina B;;Arena Lviv; Lviv;32990;2012
13 junij 2012 (2012-06-13);Danska ; Portugalska;2;3;Skupina B;;Arena Lviv; Lviv;31840;2012
13 junij 2012 (2012-06-13);Nizozemska ; Nemčija;1;2;Skupina B;;Metalist Stadium; Kharkiv;37750;2012
17 junij 2012 (2012-06-17);Portugalska ; Nizozemska;2;1;Skupina B;;Metalist Stadium; Kharkiv;37445;2012
17 junij 2012 (2012-06-17);Danska ; Nemčija;1;2;Skupina B;;Arena Lviv; Lviv;32990;2012
